Verkiezingsuitslagen Gemeenteraad  2010 - Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# geldige stemmen;6581330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ongeldige stemmen;17101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# blanco stemmen;14703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Percentage blanco stemmen;0,22 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# kiesgerechtigden;12216546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opkomst;6613134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opkomstpercentage;54,13 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij;# Stemmen;Percentage;# Zetels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lokale partijen;1559658;23,70 %;2277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdA;1035948;15,74 %;1251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VVD;1031983;15,68 %;1432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDA;975388;14,82 %;1531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D66;531760;8,08 %;541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GL;442925;6,73 %;436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP;273594;4,16 %;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CU;247648;3,76 %;331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGP;116371;1,77 %;197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trots op Nederland Lijst Rita Verdonk;81877;1,24 %;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CU/SGP;68163;1,04 %;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PVV;50529;0,77 %;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdA/GL;37208;0,57 %;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FNP;26841;0,41 %;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdA/GL/D66;23400;0,36 %;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdD;19717;0,30 %;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
