Verkiezingsuitslagen Provinciale Staten 2011 - Nederland;;;
# geldige stemmen;6993076;;
# ongeldige stemmen;13280;;
# blanco stemmen;7573;;
Percentage blanco stemmen;0,11%;;
# kiesgerechtigden;12532127;;
Opkomst;7013929;;
Opkomstpercentage;55,97%;;

Partij;# Stemmen;Percentage;# Zetels
VVD;1368398;19,57%;112
Partij van de Arbeid (P.v.d.A.);1211111;17,32%;107
Christen Democratisch Appèl (CDA);987282;14,12%;86
PVV (Partij voor de Vrijheid);869626;12,44%;69
Socialistische Partij;710425;10,16%;56
Democraten 66;585195;8,37%;42
GROENLINKS;440687;6,30%;34
ChristenUnie;231131;3,31%;23
50PLUS;164928;2,36%;9
Staatkundig Gereformeerde Partij (SGP);152441;2,18%;12
Partij voor de Dieren;131231;1,88%;7
ChristenUnie-SGP;34285;0,49%;1
FNP;27288;0,39%;4
Ouderenpartij Noord-Holland;21354;0,31%;1
PARTIJ VOOR ZEELAND (PVZ);9456;0,14%;2
Partij voor het Noorden;9348;0,13%;1
Partij Nieuw Limburg (PNL);7749;0,11%;0
Platform Lokale Partijen;7266;0,10%;0
Unie van Democraten (De Unie);3648;0,05%;0
Provinciaal Belang Fryslân;3558;0,05%;0
Partij voor Mens en Spirit (MenS);2681;0,04%;0
Onafhankelijke Partij Drenthe O.P.D.;2460;0,04%;0
Brabant Nu;2281;0,03%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Platform Lokale Partijen Utrecht (PLU);2068;0,03%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Groenen;2058;0,03%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mooi Utrecht;1247;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solidara;1054;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DPS/Groep van Bergen/De Groenen;970;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leefbaar Almere;926;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gelderse Centrumdemocraten (Gelderse C.D.);611;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verenigd Links-Feriene Lofts;313;0,00%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;


Naam;# geldige stemmen;# ongeldige stemmen;# blanco stemmen;Percentage blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;VVD;Partij van de Arbeid (P.v.d.A.);Christen Democratisch Appèl (CDA);PVV (Partij voor de Vrijheid);Socialistische Partij;Democraten 66;GROENLINKS;ChristenUnie;50PLUS;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;PARTIJ VOOR ZEELAND (PVZ);Partij voor het Noorden;Partij Nieuw Limburg (PNL);Platform Lokale Partijen;Unie van Democraten (De Unie);Provinciaal Belang Fryslân;Partij voor Mens en Spirit (MenS);Onafhankelijke Partij Drenthe O.P.D.;Brabant Nu;Platform Lokale Partijen Utrecht (PLU);De Groenen;Mooi Utrecht;Solidara;DPS/Groep van Bergen/De Groenen;Leefbaar Almere;Gelderse Centrumdemocraten (Gelderse C.D.);Verenigd Links-Feriene Lofts
Aa en Hunze;13089;22;15;0,11%;20262;13126;64,78%;3252;4215;1093;1000;1165;897;818;235;212;16;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;16;0;0;0;0
Aalburg;5886;16;1;0,02%;9343;5903;63,18%;760;319;1295;819;253;107;86;0;78;0;64;2103;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Aalsmeer;13426;24;12;0,09%;22022;13462;61,13%;4448;1564;2248;1832;708;1005;447;0;245;0;229;537;0;157;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
Aalten;12116;20;13;0,11%;20758;12149;58,53%;1919;1846;3464;1070;1576;614;472;671;210;40;198;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;4;0;14;0
Achtkarspelen;12066;13;6;0,05%;21541;12085;56,10%;949;2370;2855;1171;694;222;303;1678;105;0;0;0;1405;0;0;36;0;0;0;271;0;0;0;0;0;0;0;0;0;0;7
Alblasserdam;8225;9;6;0,07%;14099;8240;58,44%;1116;1277;966;926;627;526;170;812;200;1477;115;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0
Albrandswaard;9712;16;13;0,13%;18592;9741;52,39%;2603;1180;1131;1666;885;606;328;264;264;149;221;0;0;0;0;0;0;408;7;0;0;0;0;0;0;0;0;0;0;0;0
Alkmaar;39170;84;39;0,10%;71693;39293;54,81%;6868;8507;3228;4336;5027;4107;3553;0;1053;0;1064;655;0;676;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0
Almelo;26525;83;19;0,07%;54008;26627;49,30%;4430;6110;4152;3371;2840;1946;1230;1016;861;112;395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0
Almere;66180;130;66;0,10%;134265;66376;49,44%;15435;13125;2850;12227;6397;5335;4495;1580;1864;141;1851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;880;0;0
Alphen aan den Rijn;30947;49;52;0,17%;54600;31048;56,86%;7466;4491;4290;3829;3166;2801;1648;1342;669;494;545;0;0;0;0;0;0;168;38;0;0;0;0;0;0;0;0;0;0;0;0
Alphen-Chaam;4340;9;2;0,05%;7297;4351;59,63%;1084;385;1207;596;378;258;207;0;139;0;69;9;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
Ameland;1781;1;1;0,06%;2651;1783;67,26%;385;305;517;221;100;52;70;14;16;0;0;0;24;0;0;4;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0
Amersfoort;65112;100;60;0,09%;106609;65272;61,23%;13698;11314;6326;6114;6615;6817;6050;4430;1456;690;1339;0;0;0;0;0;0;0;0;0;0;0;0;151;0;112;0;0;0;0;0
Amstelveen;36771;62;29;0,08%;57592;36862;64,01%;10358;6016;3243;3881;2790;4972;2656;0;702;0;827;659;0;624;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0
Amsterdam;297488;1126;400;0,13%;551475;299014;54,22%;45720;84869;9018;24901;31168;46394;37785;0;2848;0;8207;2433;0;3342;0;0;0;0;0;0;0;0;0;0;803;0;0;0;0;0;0
Anna Paulowna;6076;9;3;0,05%;10842;6088;56,15%;1737;995;997;826;472;362;177;0;85;0;108;100;0;211;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
